date,atemperature,ltemperature,sunshine,sonw(accumulated),htemperature,snow,windSpeed(m/s),humidity(%)
2010/2/4,-8.8,-12.6,5.3,49,-5.6,0,2.1,58
2010/2/5,-9.2,-10.9,1.1,50,-6.3,5,2.1,67
2010/2/6,-7.3,-11.2,2.4,62,-1.2,15,4.7,61
2010/2/7,-0.6,-2.4,0.0,63,0.8,7,8.7,77
2010/2/8,0.3,-4.9,2.7,62,3.3,0,3.1,70
2010/2/9,-1.0,-4.3,0.5,60,2.6,1,4.1,73
2010/2/10,-3.2,-4.3,3.9,58,-1.1,1,4.5,54
2010/2/11,-3.3,-5.5,3.9,58,-1.1,0,2.4,68
2010/2/12,-5.3,-7.3,1.6,62,-3.0,9,4.7,63
2010/2/13,-6.3,-8.9,3.5,63,-3.4,3,1.8,68
2010/2/14,-5.3,-10.8,2.7,62,-1.0,4,1.7,68
2010/2/15,-4.7,-7.5,0.6,61,-1.8,1,2.2,65
2010/2/16,-5.9,-8.2,2.0,79,-4.1,24,2.1,78
2010/2/17,-5.9,-10.5,7.4,79,-1.2,0,1.5,65
2010/2/18,-3.5,-9.3,4.4,71,0.3,2,3.5,73
2010/2/19,-1.5,-4.0,0.6,72,1.6,6,2.6,81
2010/2/20,-3.3,-7.0,2.3,70,-0.4,4,4.3,62
2010/2/21,-2.4,-5.8,8.7,70,0.5,2,2.8,58
2010/2/22,-0.2,-4.5,0.2,67,2.4,1,7.3,71
2010/2/23,1.9,-0.4,6.2,66,4.5,1,2.2,64
2010/2/24,2.8,-1.6,1.5,61,5.5,0,3.6,67
2010/2/25,5.8,2.6,4.0,56,9.8,0,6.3,71
2010/2/26,3.2,-0.3,1.4,49,6.4,0,5.1,77
2010/2/27,-1.8,-3.4,9.6,44,0.0,0,5.3,53
2010/2/28,-1.6,-4.0,2.4,47,0.9,4,2.2,64
2010/3/1,-3.5,-5.5,3.3,50,-1.6,4,5.2,66
2010/3/2,-3.0,-6.8,8.7,47,0.0,3,2.7,66
2010/3/3,-0.7,-2.4,1.4,49,1.9,6,3.4,74
2010/3/4,0.0,-5.2,6.1,47,3.3,0,3.8,62
2010/3/5,1.6,-0.3,0.0,56,3.4,14,1.9,86
2010/3/6,1.2,-2.3,0.7,49,4.6,0,3.7,70
2010/3/7,-3.2,-6.3,2.5,61,-1.3,20,3.9,77
2010/3/8,-4.2,-9.4,9.2,58,-0.9,1,3.3,58
2010/3/9,-2.8,-7.3,2.9,50,0.0,0,2.3,57
2010/3/10,-1.8,-5.0,0.0,50,0.9,0,2.5,56
2010/3/11,0.1,-1.7,4.6,49,2.4,0,5.0,60
2010/3/12,2.1,-2.2,2.4,47,6.2,0,6.9,70
2010/3/13,0.9,-3.9,5.7,44,7.7,7,5.9,62
2010/3/14,-2.3,-4.5,6.2,44,0.1,3,4.3,57
2010/3/15,-0.2,-4.2,0.0,41,4.6,1,4.3,70
2010/3/16,2.5,-1.5,0.4,39,7.3,5,5.3,79
2010/3/17,-2.3,-4.1,2.4,37,-0.1,7,3.3,66
2010/3/18,-1.4,-4.3,1.2,37,1.1,3,2.2,65
2010/3/19,1.9,-0.7,7.1,34,5.5,3,3.1,56
2010/3/20,3.1,0.8,0.0,33,5.4,3,3.0,81
2010/3/21,3.5,-1.5,4.3,29,9.6,7,9.4,70
2010/3/22,-0.5,-2.7,4.7,29,1.3,3,5.7,56
2010/3/23,0.7,-1.3,0.0,26,2.2,3,2.2,74
2010/3/24,2.6,-3.0,9.6,26,5.8,0,3.3,49
2010/3/25,1.4,-1.4,0.0,25,5.0,3,3.0,64
2010/3/26,-0.8,-3.6,7.3,26,2.4,3,4.6,51
2010/3/27,-2.7,-4.7,3.6,31,0.0,13,3.9,64
2010/3/28,-2.1,-5.1,4.6,30,1.7,5,2.5,67
2010/3/29,-1.8,-6.2,6.1,30,1.7,4,3.4,66
2010/3/30,2.4,-1.9,8.8,26,6.0,2,3.7,51
2010/3/31,5.3,-1.3,0.7,22,9.6,0,2.8,57
2010/4/1,6.4,4.9,0.0,19,8.3,0,4.7,77
2010/4/2,5.5,3.0,9.4,10,9.2,0,3.8,45
2010/4/3,3.4,-0.1,5.3,3,7.1,2,3.1,53
2010/4/4,5.4,-0.3,10.1,1,10.4,1,4.3,51
2010/4/5,6.6,3.6,3.3,0,12.9,0,5.0,67
2010/4/6,5.2,1.8,0.5,0,9.5,0,1.6,78
2010/4/7,3.1,0.6,1.3,0,5.6,0,5.1,70
2010/4/8,3.9,-0.8,12.1,0,9.6,0,1.9,56
2010/4/9,5.9,2.4,4.6,0,10.1,0,6.1,60
2010/4/10,8.9,4.0,1.7,0,15.1,0,4.8,71
2010/4/11,6.3,3.2,7.1,0,9.7,0,5.1,48
2010/4/12,5.2,1.5,9.6,0,9.6,0,2.5,44
2010/4/13,6.2,2.6,0.6,0,9.8,0,11.9,66
2010/4/14,2.2,0.2,0.4,0,4.6,0,5.3,61
2010/4/15,2.3,0.1,2.9,0,5.1,0,4.0,49
2010/4/16,5.2,0.4,8.4,0,9.6,0,2.5,50
2010/4/17,6.1,1.5,3.3,0,11.6,0,2.2,49
2010/4/18,4.7,2.3,1.1,0,9.1,0,1.6,66
2010/4/19,6.0,1.3,8.0,0,11.1,0,2.1,52
2010/4/20,5.3,4.6,0.0,0,6.0,0,4.3,77
2010/4/21,4.8,3.3,0.5,0,7.6,0,5.5,86
2010/4/22,5.1,2.6,3.1,0,9.4,0,3.6,68
2010/4/23,5.1,3.1,1.7,0,8.0,0,2.9,73
2010/4/24,5.5,2.6,4.6,0,9.3,0,2.1,75
2010/4/25,6.2,3.3,2.7,0,11.7,0,5.2,71
2010/4/26,5.9,3.7,8.4,0,9.0,0,4.7,62
2010/4/27,7.5,2.0,11.4,0,13.0,0,6.2,45
2010/4/28,5.0,2.6,2.0,0,6.3,0,10.6,72
2010/4/29,8.2,6.0,0.0,0,10.8,0,7.6,82
2010/4/30,8.2,6.3,0.2,0,10.7,0,3.8,69
2010/5/1,11.2,7.3,2.8,0,14.4,0,3.3,53
2010/5/2,13.6,6.7,10.6,0,19.8,0,3.1,48
2010/5/3,14.8,8.3,6.6,0,20.9,0,4.2,56
2010/5/4,14.8,10.1,12.3,0,19.6,0,3.1,45
2010/5/5,12.9,9.9,3.0,0,20.2,0,2.0,53
2010/5/6,14.2,10.5,4.7,0,19.2,0,8.8,50
2010/5/7,12.7,11.1,4.2,0,16.4,0,9.6,71
2010/5/8,8.5,6.2,0.4,0,12.7,0,2.9,83
2010/5/9,8.1,6.0,5.7,0,11.4,0,5.0,75
2010/5/10,8.1,6.7,7.6,0,11.4,0,5.2,70
2010/5/11,10.0,7.0,5.0,0,13.1,0,6.5,66
2010/5/12,8.5,6.8,0.0,0,10.7,0,2.5,87
2010/5/13,7.6,6.8,0.0,0,9.2,0,5.3,80
2010/5/14,7.8,5.9,6.1,0,11.2,0,5.8,69
2010/5/15,11.3,4.5,11.1,0,19.5,0,1.7,59
2010/5/16,14.0,8.5,9.5,0,20.6,0,4.3,55
2010/5/17,16.7,9.6,9.8,0,24.9,0,3.0,50
2010/5/18,15.8,12.2,9.2,0,21.5,0,2.4,57
2010/5/19,16.4,10.7,8.0,0,21.3,0,7.4,58
2010/5/20,13.6,11.5,0.2,0,15.4,0,8.0,82
2010/5/21,11.8,9.2,2.1,0,16.7,0,3.5,84
2010/5/22,13.2,8.9,10.5,0,19.7,0,2.2,78
2010/5/23,15.3,10.0,12.8,0,20.5,0,7.4,68
2010/5/24,13.3,12.1,0.0,0,16.1,0,7.8,82
2010/5/25,12.6,11.2,0.0,0,14.4,0,2.8,79
2010/5/26,13.4,9.7,1.8,0,18.3,0,2.6,58
2010/5/27,9.8,7.7,0.2,0,12.4,0,4.1,76
2010/5/28,10.0,8.4,0.4,0,11.7,0,5.7,72
2010/5/29,12.4,6.4,14.3,0,17.3,0,4.4,53
2010/5/30,13.1,7.4,13.4,0,17.9,0,4.1,49
2010/5/31,14.1,8.4,14.4,0,22.0,0,1.9,54
2010/6/1,14.4,7.1,9.7,0,23.1,0,2.5,61
2010/6/2,13.3,10.6,0.6,0,17.7,0,1.8,73
2010/6/3,12.5,11.4,0.0,0,15.9,0,1.8,88
2010/6/4,11.7,11.1,0.0,0,13.6,0,2.1,88
2010/6/5,14.0,10.5,5.9,0,20.9,0,1.8,76
2010/6/6,16.0,9.2,13.1,0,22.9,0,2.3,68
2010/6/7,15.5,13.0,7.8,0,19.5,0,2.8,79
2010/6/8,19.4,13.3,12.8,0,26.7,0,3.3,58
2010/6/9,17.6,11.0,8.4,0,22.8,0,3.4,68
2010/6/10,18.4,15.1,12.1,0,24.8,0,2.1,73
2010/6/11,19.6,15.0,11.5,0,26.2,0,2.2,69
2010/6/12,18.3,13.5,13.6,0,27.7,0,2.4,74
2010/6/13,20.9,14.8,13.1,0,28.0,0,3.4,65
2010/6/14,20.3,15.4,11.1,0,27.1,0,3.9,70
2010/6/15,20.3,15.8,12.3,0,25.6,0,5.7,69
2010/6/16,18.2,16.3,0.0,0,20.6,0,3.7,82
2010/6/17,17.3,16.3,0.0,0,20.4,0,2.4,87
2010/6/18,20.9,16.8,4.8,0,27.2,0,2.1,73
2010/6/19,21.7,16.8,11.9,0,28.0,0,1.8,72
2010/6/20,20.1,17.0,4.6,0,24.0,0,1.6,76
2010/6/21,20.8,18.0,1.4,0,23.9,0,1.5,81
2010/6/22,21.3,18.1,7.2,0,27.8,0,2.5,76
2010/6/23,19.9,17.2,2.9,0,22.8,0,5.7,77
2010/6/24,16.9,15.9,1.3,0,20.4,0,3.4,86
2010/6/25,22.0,15.7,12.3,0,29.3,0,1.6,62
2010/6/26,25.0,18.3,13.9,0,31.3,0,1.9,54
2010/6/27,24.4,21.4,3.8,0,29.1,0,1.9,62
2010/6/28,26.1,21.6,12.8,0,31.6,0,2.0,65
2010/6/29,24.6,19.6,10.4,0,31.4,0,1.9,66
2010/6/30,24.1,21.9,3.4,0,27.9,0,3.3,71
2010/7/1,22.0,20.2,0.1,0,24.1,0,2.7,84
2010/7/2,23.7,21.2,3.0,0,28.5,0,2.0,77
2010/7/3,24.2,21.8,3.7,0,28.2,0,2.9,75
2010/7/4,24.3,21.2,6.7,0,29.1,0,3.6,72
2010/7/5,20.8,19.6,0.0,0,22.4,0,3.6,84
2010/7/6,20.6,19.5,0.0,0,22.4,0,2.1,83
2010/7/7,21.5,20.0,0.5,0,24.1,0,2.2,80
2010/7/8,20.4,19.2,0.0,0,23.6,0,1.9,83
2010/7/9,21.5,18.6,1.0,0,25.5,0,1.9,80
2010/7/10,21.6,19.6,0.0,0,23.5,0,4.1,82
2010/7/11,20.7,19.0,2.1,0,23.9,0,4.2,80
2010/7/12,18.0,15.4,0.0,0,20.7,0,4.4,90
2010/7/13,18.8,15.5,5.7,0,24.5,0,2.8,77
2010/7/14,20.4,17.5,5.6,0,23.5,0,4.3,76
2010/7/15,21.5,18.2,4.0,0,26.3,0,1.9,75
2010/7/16,22.5,18.1,8.5,0,28.6,0,2.6,73
2010/7/17,23.6,19.2,3.8,0,28.1,0,2.2,72
2010/7/18,25.1,21.2,2.3,0,32.0,0,2.7,75
2010/7/19,24.5,22.2,0.2,0,27.6,0,1.7,82
2010/7/20,21.9,20.8,0.0,0,23.6,0,2.0,88
2010/7/21,24.8,20.2,3.1,0,30.4,0,2.8,74
2010/7/22,21.2,19.3,0.2,0,24.1,0,4.9,79
2010/7/23,21.5,19.4,0.6,0,26.5,0,2.2,87
2010/7/24,20.0,18.4,1.0,0,23.4,0,2.7,85
2010/7/25,21.4,18.3,8.7,0,26.3,0,3.3,71
2010/7/26,21.3,17.9,4.6,0,25.2,0,2.3,77
2010/7/27,23.1,21.2,0.0,0,25.3,0,3.7,82
2010/7/28,25.4,22.0,0.0,0,28.2,0,3.8,74
2010/7/29,22.5,21.2,0.0,0,24.8,0,5.7,85
2010/7/30,22.2,21.0,1.0,0,25.8,0,1.9,87
2010/7/31,24.4,21.0,7.5,0,29.2,0,3.7,74
2010/8/1,22.7,18.6,0.8,0,27.7,0,2.9,84
2010/8/2,22.2,16.9,7.5,0,26.9,0,1.6,71
2010/8/3,23.3,19.0,5.1,0,27.0,0,1.6,66
2010/8/4,23.3,20.8,0.1,0,26.7,0,1.7,75
2010/8/5,26.4,21.5,4.2,0,31.9,0,2.1,72
2010/8/6,28.8,23.9,5.3,0,32.3,0,3.9,68
2010/8/7,27.1,23.4,4.7,0,30.5,0,2.6,77
2010/8/8,25.1,23.1,1.4,0,28.7,0,1.8,84
2010/8/9,26.4,24.0,1.8,0,30.2,0,2.2,77
2010/8/10,26.5,23.2,10.7,0,30.7,0,1.9,73
2010/8/11,24.4,22.5,0.0,0,27.7,0,3.2,85
2010/8/12,22.8,21.5,1.5,0,26.0,0,3.8,84
2010/8/13,25.3,20.5,8.3,0,30.2,0,1.8,66
2010/8/14,25.4,20.9,8.4,0,30.2,0,2.3,68
2010/8/15,23.8,22.5,1.1,0,27.0,0,5.4,76
2010/8/16,24.9,22.5,4.2,0,29.2,0,2.1,78
2010/8/17,24.3,20.8,3.2,0,27.7,0,2.0,72
2010/8/18,24.0,18.2,13.0,0,30.2,0,2.4,68
2010/8/19,25.2,20.2,12.1,0,31.3,0,2.9,62
2010/8/20,24.1,21.0,11.5,0,28.1,0,6.2,67
2010/8/21,25.7,22.4,2.7,0,29.7,0,3.4,72
2010/8/22,25.8,23.2,2.9,0,30.7,0,2.4,79
2010/8/23,23.8,21.5,2.3,0,27.4,0,3.4,80
2010/8/24,22.9,20.5,0.1,0,24.5,0,2.0,85
2010/8/25,23.4,19.0,0.6,0,27.6,0,1.7,73
2010/8/26,23.1,20.1,7.3,0,26.6,0,3.2,69
2010/8/27,23.4,18.1,9.8,0,28.3,0,1.5,63
2010/8/28,24.4,20.7,11.3,0,29.5,0,1.7,53
2010/8/29,25.5,21.0,1.6,0,30.0,0,1.4,67
2010/8/30,28.1,24.4,9.8,0,34.1,0,3.6,67
2010/8/31,27.6,24.4,5.1,0,32.5,0,2.4,70
2010/9/1,27.1,23.9,5.3,0,31.7,0,2.0,68
2010/9/2,25.8,22.2,6.8,0,29.6,0,2.1,71
2010/9/3,23.4,21.8,0.0,0,25.1,0,3.3,86
2010/9/4,24.0,20.0,9.3,0,28.0,0,3.5,62
2010/9/5,25.0,22.0,1.3,0,28.2,0,1.9,71
2010/9/6,26.3,23.5,3.0,0,30.8,0,2.6,71
2010/9/7,22.0,18.5,5.9,0,28.3,0,4.6,65
2010/9/8,20.1,16.2,9.1,0,23.2,0,5.5,54
2010/9/9,20.0,13.4,9.7,0,25.6,0,2.4,64
2010/9/10,21.3,15.8,4.8,0,26.3,0,1.4,62
2010/9/11,21.3,18.4,0.0,0,24.3,0,1.1,70
2010/9/12,21.5,16.6,9.7,0,27.0,0,3.2,67
2010/9/13,22.0,17.1,11.1,0,27.8,0,2.5,62
2010/9/14,21.9,16.7,11.7,0,27.0,0,2.5,69
2010/9/15,22.0,17.9,8.4,0,26.4,0,3.7,70
2010/9/16,21.4,18.2,11.2,0,25.8,0,5.0,70
2010/9/17,22.1,18.0,9.1,0,25.8,0,3.9,67
2010/9/18,20.7,17.4,8.0,0,25.0,0,4.4,70
2010/9/19,18.1,15.7,2.5,0,22.0,0,2.6,78
2010/9/20,18.6,13.1,8.3,0,25.3,0,4.0,75
2010/9/21,18.9,16.2,0.8,0,22.0,0,4.1,65
2010/9/22,16.1,13.6,1.4,0,19.9,0,4.4,42
2010/9/23,14.3,10.6,1.7,0,17.6,0,2.9,46
2010/9/24,13.1,8.7,9.4,0,17.4,0,3.6,53
2010/9/25,12.1,9.2,0.0,0,15.1,0,2.8,57
2010/9/26,12.5,8.5,5.4,0,17.3,0,2.2,65
2010/9/27,17.4,11.6,8.7,0,21.5,0,6.0,69
2010/9/28,18.6,14.7,1.6,0,21.6,0,7.4,80
2010/9/29,15.1,12.0,8.6,0,18.3,0,4.2,49
2010/9/30,16.7,13.1,8.5,0,22.4,0,2.9,53
2010/10/1,16.2,10.3,10.1,0,22.5,0,1.7,63
2010/10/2,14.5,11.2,6.8,0,19.0,0,1.8,66
2010/10/3,13.9,11.6,0.0,0,16.7,0,6.3,72
2010/10/4,16.3,12.7,0.0,0,18.5,0,4.8,85
2010/10/5,16.4,12.2,3.6,0,21.1,0,2.7,74
2010/10/6,15.3,11.0,6.5,0,19.1,0,3.4,71
2010/10/7,14.7,9.0,9.0,0,20.4,0,1.3,73
2010/10/8,16.5,12.9,6.8,0,21.0,0,5.0,76
2010/10/9,15.6,13.9,1.4,0,17.4,0,5.2,77
2010/10/10,14.5,13.0,0.0,0,17.0,0,2.7,90
2010/10/11,17.5,14.9,6.7,0,20.7,0,4.5,77
2010/10/12,16.5,12.4,2.7,0,21.1,0,1.5,79
2010/10/13,14.2,13.1,0.0,0,15.5,0,4.1,72
2010/10/14,12.7,8.3,8.6,0,16.4,0,2.8,55
2010/10/15,10.1,6.5,0.1,0,12.4,0,2.4,81
2010/10/16,14.5,11.3,6.4,0,19.1,0,3.2,60
2010/10/17,12.2,8.9,3.5,0,18.6,0,3.9,68
2010/10/18,9.4,6.2,3.5,0,12.5,0,3.2,46
2010/10/19,10.1,5.8,9.2,0,15.2,0,2.9,50
2010/10/20,10.9,5.7,1.8,0,14.5,0,1.6,60
2010/10/21,11.4,6.5,6.3,0,15.4,0,3.1,64
2010/10/22,10.1,4.4,9.4,0,17.1,0,1.6,66
2010/10/23,12.3,6.8,9.8,0,18.1,0,1.6,66
2010/10/24,14.4,10.3,2.2,0,19.2,0,2.3,65
2010/10/25,11.6,8.2,0.0,0,16.2,0,4.2,75
2010/10/26,3.6,0.2,1.6,4,8.3,4,4.9,79
2010/10/27,3.5,0.3,4.6,7,6.6,5,2.8,68
2010/10/28,6.0,3.0,2.3,3,9.5,0,2.4,66
2010/10/29,6.9,2.4,8.8,0,10.4,0,3.6,53
2010/10/30,7.5,2.1,9.0,0,14.8,0,2.6,60
2010/10/31,8.3,3.7,3.7,0,14.1,0,1.7,59
2010/11/1,8.3,5.8,0.0,0,9.7,0,1.9,80
2010/11/2,8.2,6.4,0.4,0,10.2,0,3.4,83
2010/11/3,5.7,4.3,0.4,0,7.2,0,3.0,82
2010/11/4,7.4,5.3,0.8,0,9.5,0,2.2,66
2010/11/5,8.1,6.1,0.8,0,10.0,0,2.6,56
2010/11/6,10.5,4.8,6.0,0,15.2,0,3.0,54
2010/11/7,11.5,6.3,7.8,0,17.3,0,3.9,60
2010/11/8,7.0,4.7,0.0,0,10.3,0,2.5,85
2010/11/9,9.3,7.0,0.0,0,12.0,0,2.6,87
2010/11/10,6.9,3.6,0.0,0,9.0,0,6.4,82
2010/11/11,4.4,1.5,1.6,0,6.9,0,3.3,82
2010/11/12,6.4,1.3,0.1,0,11.4,0,5.1,74
2010/11/13,7.6,4.8,5.0,0,11.2,0,3.2,68
2010/11/14,8.1,5.2,4.4,0,13.4,0,4.0,61
2010/11/15,2.4,0.9,1.0,0,5.3,0,3.8,54
2010/11/16,2.4,-1.5,4.2,0,5.0,0,2.2,60
2010/11/17,4.4,0.7,2.8,0,8.0,0,1.3,64
2010/11/18,4.3,-0.6,9.0,0,10.6,0,1.1,73
2010/11/19,6.3,1.2,0.8,0,10.4,0,1.4,70
2010/11/20,7.5,2.9,2.8,0,13.6,0,1.9,70
2010/11/21,9.0,4.1,8.3,0,14.6,0,2.8,67
2010/11/22,12.3,7.3,1.6,0,16.0,0,6.9,73
2010/11/23,4.6,3.0,1.1,0,8.6,0,5.4,52
2010/11/24,3.0,0.5,4.3,0,5.5,0,3.6,59
2010/11/25,4.7,-0.2,7.9,0,8.5,0,3.5,66
2010/11/26,5.6,1.7,3.0,0,10.0,0,4.2,76
2010/11/27,2.4,0.7,6.1,0,5.0,0,3.0,52
2010/11/28,2.4,-2.4,6.4,0,6.6,0,5.6,57
2010/11/29,-2.7,-4.0,1.0,16,-0.3,20,2.3,82
2010/11/30,-0.9,-3.6,1.9,17,1.5,5,2.1,73
2010/12/1,2.7,-1.3,4.2,12,5.4,0,1.8,78
2010/12/2,5.2,-0.7,7.9,3,9.6,0,4.1,77
2010/12/3,10.9,9.4,0.0,0,12.2,0,6.7,84
2010/12/4,6.4,3.9,0.0,0,10.8,0,4.4,63
2010/12/5,5.9,1.5,1.8,0,9.3,0,2.0,64
2010/12/6,4.7,1.1,1.7,0,9.1,0,3.0,80
2010/12/7,1.1,0.1,0.0,0,2.1,0,4.1,86
2010/12/8,0.0,-1.3,0.0,0,1.1,0,3.7,65
2010/12/9,0.7,-0.7,0.0,0,2.0,0,5.8,60
2010/12/10,-0.2,-1.5,0.7,0,1.0,0,2.6,66
2010/12/11,4.2,-1.0,0.1,0,8.8,0,6.8,63
2010/12/12,-3.1,-4.9,0.4,4,1.3,8,3.7,68
2010/12/13,1.8,-3.0,1.4,3,5.3,1,4.7,65
2010/12/14,1.8,-1.5,0.6,4,3.4,4,4.4,81
2010/12/15,-5.7,-8.2,0.5,4,-1.5,2,3.2,69
2010/12/16,-4.5,-8.0,2.1,3,-0.9,0,3.0,61
2010/12/17,-3.7,-6.5,6.8,2,-0.7,0,1.6,60
2010/12/18,-3.0,-5.7,0.0,14,0.0,14,3.6,75
2010/12/19,0.2,-3.2,3.3,13,5.2,0,3.4,68
2010/12/20,3.8,0.9,0.3,10,5.9,0,3.8,81
2010/12/21,1.9,-0.9,4.6,3,3.9,0,3.1,55
2010/12/22,-0.6,-2.4,0.0,8,1.0,7,1.6,75
2010/12/23,1.4,0.5,0.0,11,3.2,5,4.0,90
2010/12/24,-1.2,-6.6,2.7,10,3.7,4,3.7,66
2010/12/25,-5.7,-7.2,2.8,10,-3.0,1,3.1,55
2010/12/26,-3.3,-7.3,0.0,10,-0.1,2,3.1,61
2010/12/27,-0.4,-3.5,6.1,10,2.5,0,3.0,54
2010/12/28,0.1,-2.2,4.3,10,2.7,0,2.1,55
2010/12/29,-0.7,-1.7,0.0,20,0.7,10,1.8,86
2010/12/30,0.1,-0.9,0.0,20,1.1,0,1.6,85
2010/12/31,-1.1,-4.9,3.5,17,1.8,0,2.1,63
2011/1/1,-0.6,-2.2,1.1,17,1.4,0,4.8,58
2011/1/2,-1.1,-3.8,1.4,20,0.8,3,3.7,61
2011/1/3,-1.0,-4.3,6.8,20,2.3,3,1.8,74
2011/1/4,-1.3,-3.5,3.9,21,1.7,3,2.3,67
2011/1/5,-2.3,-4.3,0.0,21,-0.1,2,1.8,66
2011/1/6,-5.7,-9.2,0.6,37,-2.2,20,5.3,75
2011/1/7,-8.9,-10.1,0.5,53,-6.5,18,6.3,77
2011/1/8,-5.4,-7.7,3.8,58,-3.0,10,3.8,71
2011/1/9,-6.0,-8.0,1.7,61,-4.0,14,3.3,68
2011/1/10,-6.6,-8.6,6.9,60,-3.8,6,4.4,59
2011/1/11,-6.1,-8.9,7.6,57,-3.4,4,3.3,58
2011/1/12,-6.8,-9.6,0.0,59,-5.1,11,1.8,77
2011/1/13,-7.0,-9.4,4.8,65,-4.6,7,3.6,67
2011/1/14,-7.2,-8.8,5.4,60,-5.2,3,4.0,57
2011/1/15,-4.2,-9.5,8.2,59,-0.1,7,2.7,60
2011/1/16,-0.1,-3.8,0.1,61,1.5,8,4.9,74
2011/1/17,-1.4,-3.7,0.5,76,1.5,20,5.9,78
2011/1/18,-0.4,-3.5,6.0,75,3.0,3,3.0,65
2011/1/19,-1.2,-4.3,5.3,70,1.3,0,1.9,64
2011/1/20,-2.6,-4.6,5.0,66,-1.0,3,2.8,63
2011/1/21,-3.0,-4.6,3.9,72,-0.8,7,3.6,67
2011/1/22,-2.6,-6.5,6.9,68,0.3,0,2.5,57
2011/1/23,-1.6,-4.9,3.7,65,1.2,3,1.8,71
2011/1/24,-2.8,-6.5,4.2,65,-0.1,0,1.8,61
2011/1/25,-2.7,-7.5,2.3,62,1.3,1,2.3,71
2011/1/26,-3.6,-6.7,5.7,61,-1.4,1,1.3,60
2011/1/27,-5.2,-8.5,7.8,61,-1.9,1,1.6,59
2011/1/28,-6.1,-9.8,1.1,60,-2.7,1,2.0,66
2011/1/29,-4.0,-6.9,7.2,59,-1.1,1,2.6,55
2011/1/30,-4.7,-7.7,2.5,65,-1.7,10,3.0,67
2011/1/31,-5.4,-9.4,0.6,65,-3.8,2,1.6,75
2011/2/1,-4.7,-5.8,0.4,85,-3.2,23,5.0,77
2011/2/2,-2.0,-8.1,7.1,82,1.5,0,2.2,66
2011/2/3,1.8,-2.1,9.1,76,5.9,0,2.0,64
2011/2/4,2.7,-2.2,5.2,72,7.4,0,2.7,62
2011/2/5,-0.4,-4.4,4.5,69,2.8,2,4.4,54
2011/2/6,-2.5,-8.2,3.3,66,1.8,1,5.4,68
2011/2/7,-2.9,-6.6,2.8,71,2.9,7,5.3,67
2011/2/8,-4.5,-7.0,5.5,69,-2.2,0,3.5,57
2011/2/9,-2.4,-5.9,7.2,68,0.5,2,1.8,66
2011/2/10,-1.4,-4.1,4.7,82,1.8,21,2.3,79
2011/2/11,-1.4,-4.3,6.5,81,1.7,0,2.3,71
2011/2/12,-2.9,-6.7,7.6,73,0.5,0,3.0,63
2011/2/13,-3.0,-4.2,0.3,85,-1.5,16,5.3,72
2011/2/14,-3.3,-5.9,4.1,87,-0.1,3,2.0,70
